type,entity,text
batting,A Ashish Reddy,"IPL batting stats for A Ashish Reddy: 280 total runs, 193 balls faced, 15 dismissals, strike rate 145.08, batting average 18.67."
batting,A Badoni,"IPL batting stats for A Badoni: 1178 total runs, 836 balls faced, 46 dismissals, strike rate 140.91, batting average 25.61."
batting,A Chandila,"IPL batting stats for A Chandila: 4 total runs, 7 balls faced, 0 dismissals, strike rate 57.14, batting average Not available."
batting,A Chopra,"IPL batting stats for A Chopra: 53 total runs, 71 balls faced, 6 dismissals, strike rate 74.65, batting average 8.83."
batting,A Choudhary,"IPL batting stats for A Choudhary: 25 total runs, 20 balls faced, 1 dismissals, strike rate 125.00, batting average 25.00."
batting,A Dananjaya,"IPL batting stats for A Dananjaya: 4 total runs, 5 balls faced, 0 dismissals, strike rate 80.00, batting average Not available."
batting,A Flintoff,"IPL batting stats for A Flintoff: 62 total runs, 53 balls faced, 2 dismissals, strike rate 116.98, batting average 31.00."
batting,A Kamboj,"IPL batting stats for A Kamboj: 74 total runs, 52 balls faced, 3 dismissals, strike rate 142.31, batting average 24.67."
batting,A Kumble,"IPL batting stats for A Kumble: 35 total runs, 47 balls faced, 3 dismissals, strike rate 74.47, batting average 11.67."
batting,A Manohar,"IPL batting stats for A Manohar: 292 total runs, 235 balls faced, 19 dismissals, strike rate 124.26, batting average 15.37."
batting,A Mhatre,"IPL batting stats for A Mhatre: 441 total runs, 240 balls faced, 13 dismissals, strike rate 183.75, batting average 33.92."
batting,A Mishra,"IPL batting stats for A Mishra: 381 total runs, 419 balls faced, 32 dismissals, strike rate 90.93, batting average 11.91."
batting,A Mithun,"IPL batting stats for A Mithun: 34 total runs, 26 balls faced, 5 dismissals, strike rate 130.77, batting average 6.80."
batting,A Mukund,"IPL batting stats for A Mukund: 19 total runs, 22 balls faced, 2 dismissals, strike rate 86.36, batting average 9.50."
batting,A Nehra,"IPL batting stats for A Nehra: 41 total runs, 62 balls faced, 7 dismissals, strike rate 66.13, batting average 5.86."
